,user_id,name,average_stars,review_count,fans,yelping_since,fans,cool,funny,useful,compliment_cool,compliment_funny,compliment_plain
23700,tPufvUuxXLJOMYQ7gzsMVA,Andrew,3.3,1033,54,2008-06-05 02:53:42,54,602,664,1633,61,61,27
23702,3o7Rptti0q_Sxaa1a8xOYQ,Diane,4.02,199,18,2012-09-01 00:35:01,18,553,222,761,55,55,31
23735,gKBowG0RgDGLVU--Vqz4gg,Abbey,3.63,27,1,2010-10-01 04:39:40,1,2,3,20,1,1,0
23749,pmKnNkGVgzhMkwJaTU5apA,Katrina,3.74,959,59,2010-06-05 01:52:35,59,415,467,983,22,22,14
23757,LayctYNGF6tGtICkCqqCXQ,Ademola,3.35,126,12,2012-05-08 05:47:54,12,50,46,114,2,2,1
23769,e_Rmm18fK11D9-2_uzd4XQ,A,3.7,67,8,2009-07-13 02:23:01,8,50,42,173,3,3,1
23774,9xlwSCtOABq2CuzY_REQpw,Jamie,4.1,166,10,2010-11-16 03:27:13,10,169,92,379,33,33,30
23782,k4IQ0f2zJyBqRZxUYNHsvA,Ariana,4.07,13,0,2014-04-09 16:32:21,0,8,9,11,0,0,0
23816,D0orvBrDn0qGEVWMJKymjg,Cassie,3.8,270,39,2010-07-04 17:08:21,39,1078,615,1464,204,204,198
23823,9HA0Z6jafFFkMeRtt_IQGw,Michael,4.48,27,4,2012-09-22 02:39:36,4,6,3,26,0,0,0
23828,9lKCs1d4AE5eOmtIpuviAA,Chuck,3.9,191,29,2007-06-20 18:31:53,29,448,344,1427,38,38,17
23849,8Kjf1ulh1ox5RiO42UI4IQ,John,3.77,1219,34,2009-05-09 22:02:56,34,575,451,1524,24,24,21
23858,ZpIh6utS61bNdmGLTG0boQ,Ashley,4.41,88,3,2010-08-17 23:35:39,3,31,13,105,5,5,1
23880,sTaq8WK7In539EGyjOhXwg,Stephanie,3.7,278,11,2010-06-04 12:57:09,11,274,97,425,30,30,18
23887,18Fv9VW6V0elwgKsHVVa2Q,Tsveta,4.0,34,1,2012-02-27 00:07:37,1,2,0,15,2,2,2
24007,UkeDbSHVa8v1wZ_Ox0W9Eg,Blanca,3.7,36,1,2013-01-27 04:10:29,1,5,10,12,0,0,0
24011,a2aLsf3MvvX9-nuOiQRdUQ,Richard,3.74,86,5,2013-10-05 00:18:06,5,79,26,104,2,2,4
24025,4-A1SpF3lN-bXP_e54gAew,G,4.24,29,0,2014-04-17 18:29:31,0,0,0,3,0,0,0
24036,BoRDC7m0JP1pm1OapkDG7A,Angela,3.5,778,65,2009-01-13 02:04:54,65,528,455,1114,54,54,41
24063,My2vRS6m_ap3bBUd4lzrYA,Bobby,4.58,59,1,2012-02-15 14:46:30,1,9,16,75,0,0,1
24069,v0vfLcau_a0vL9vbM7erXw,Nina,3.4,437,38,2011-08-08 02:38:45,38,464,426,1051,7,7,16
24078,37Hc8hr3cw0iHLoPzLK6Ow,Christine,3.72,496,46,2008-03-03 04:57:05,46,1133,740,1586,310,310,131
24079,2vKBn-jGKx3yHIPbqoqZdA,Daniel,3.31,51,0,2013-01-03 00:04:39,0,15,19,35,0,0,0
24088,JCBBmqUxWeEX8Y0tmYgD8g,Danni,4.16,151,10,2008-11-30 23:42:09,10,143,131,206,14,14,9
24105,tlY0QMQDyfjQAEwHnzvFnw,Ken,4.01,1690,55,2008-04-04 19:39:29,55,1925,1528,3326,145,145,169
24112,CCWeUsUzgoF8XLenbNeICA,Celina,3.74,45,1,2013-08-25 22:59:49,1,21,20,55,0,0,0
24123,r0rbHEB7kWJKhzweCOeyeQ,Pedro,2.77,106,6,2012-03-11 19:03:54,6,28,75,196,1,1,30
24130,i3bLA4sEdFk8j3Pq6tx8wQ,Darlene,3.66,238,20,2010-07-11 06:32:27,20,214,144,470,20,20,23
24143,sR22VrWWCDVdd7URQDKlWw,John,4.04,114,4,2011-10-16 16:27:20,4,24,22,85,0,0,3
24158,FU8FWqkyEcLjz6Nl40rDQg,Kellie,3.14,17,1,2010-08-20 05:47:49,1,1,1,17,1,1,0
24208,VTwWq_XY4BD-9OmcWdlhiw,Michelle,4.1,52,2,2011-01-17 02:51:25,2,28,12,61,1,1,2
24215,yVnuvMmugR5mAsukYmvmcA,Bianca,3.67,3,1,2010-09-10 04:27:31,1,0,3,10,0,0,0
24221,ZDiHlPMQ-ZXlUtOpwcdPHw,Bobbie,3.74,115,12,2007-09-18 00:56:59,12,92,67,177,11,11,8
24316,eBnedff2L15dAxfD_btx-Q,Greg,3.56,213,1,2011-04-05 01:22:16,1,26,29,170,1,1,3
24336,TsEE8dZYoAa-Tzzem3yjRw,Yoshimi,3.75,51,6,2010-10-28 07:45:35,6,74,39,159,5,5,4
24344,rxhT5zOmYHCxzSWz7aKSYQ,Jon,4.83,24,0,2014-10-27 19:50:27,0,0,2,1,0,0,0
24349,Ue_7yUlkEbX4AhnYdUfL7g,Fernando,4.36,108,4,2011-05-18 00:23:12,4,42,33,94,2,2,5
24365,PGIXOlYlxakx2WH3RqqBBA,Ty,3.63,22,4,2013-07-27 19:23:48,4,6,9,35,1,1,2
24366,kdi1S-3EZLboXjnFYMbKpw,Gary,3.92,472,24,2008-10-12 22:16:13,24,289,197,691,19,19,30
24395,SvwD0zPT9So6cqgEsAhmWg,Giovanni,4.44,194,11,2013-06-22 18:32:11,11,51,30,143,5,5,0
24424,I6amR7obmvnJWT-D-J6u7A,Cherie,4.63,58,1,2011-04-26 19:22:26,1,21,8,29,6,6,8
24464,GPQEegLxfYuCew6HD5ff0w,Michelle,3.99,69,1,2011-01-19 21:54:51,1,12,11,42,1,1,0
24488,8Se9fmu3-K_d0KdjFyzWYw,Gary,3.81,20,0,2011-02-16 23:01:37,0,0,0,7,0,0,0
24501,c1TZj4ycuImrQoXTNE948w,Irma,3.68,409,15,2008-08-26 20:58:37,15,102,88,298,13,13,2
24509,yyp13q8IDxLZKGS3xzB6ww,Ari,2.72,24,0,2013-06-03 17:22:52,0,8,7,46,0,0,0
24516,P02MhyzT34Plbw6l1Dx5sA,Lukas,3.43,21,0,2014-01-30 22:38:13,0,5,4,33,0,0,0
24536,uhtAM4kUlKSgdqvit-slFw,Mel,3.58,42,4,2016-05-13 13:30:28,4,10,8,23,1,1,0
24548,Tgckr47CjfkhFG8uK-oa5w,Eugene,3.0,8,0,2010-09-18 19:56:12,0,1,1,4,0,0,0
24550,HoPbdqGo8nV0ookg0rbKvA,Barry,4.25,112,3,2012-03-01 23:15:19,3,31,22,70,0,0,0
24560,78jA9znm7XbgNYVsQ7M-UQ,Mina,4.68,22,0,2014-10-18 19:43:53,0,27,7,41,0,0,1
24580,URHw69BMSFSB4FfKj1kIZA,Chasen,3.96,94,4,2013-04-18 13:07:35,4,19,12,75,2,2,7
24590,C3wJYcNbb1aA1upSAOdBeA,Ellen,4.2,113,13,2012-06-30 19:32:24,13,162,104,259,24,24,16
24592,e7MEzEQMjqNPZfYthZKhwg,Jason,4.09,865,38,2012-09-09 02:07:21,38,1122,599,1336,74,74,53
24608,7kQa-CO8reE5jZirvN3zLQ,Lucas,3.71,59,1,2011-02-04 01:02:20,1,27,16,110,1,1,6
24627,tlWur9j2k5gpmuY91D5t6Q,Mellani,3.43,226,15,2008-07-13 06:45:09,15,149,185,306,20,20,14
24638,CEDeRkNcNbnZoHFtknWCDA,Stephanie,2.33,9,2,2013-08-17 21:02:29,2,8,16,30,0,0,0
24657,NwFkXVuLdtkWF1cmGbvScw,Diana,4.23,295,14,2008-05-19 17:17:02,14,76,72,344,2,2,10
24667,3kkLw2wshoH5HJiDGKpFug,Brian,3.5,11,1,2014-05-25 23:30:41,1,4,3,6,0,0,0
24694,b3dc870WPXagsJLW9zlsgw,B,3.56,268,3,2007-03-04 00:17:31,3,41,63,123,3,3,2
24695,ewtL3plKywXuLtmFZoUczw,Claudine,4.35,117,2,2012-07-29 21:50:24,2,69,46,162,6,6,4
24763,l680vffdpqZ_1kSaEYjAwg,Kymberly,3.82,272,6,2012-09-25 17:31:34,6,144,125,377,2,2,10
24773,whINg-cC-FiAv_ATDGMDTg,PatrickJ,3.65,3057,119,2012-08-25 15:08:58,119,13471,11147,16349,1445,1445,1146
24778,Z146DMjYlRbBNB0xRELJXA,Lauren,4.46,82,2,2017-02-04 19:25:11,2,30,10,45,1,1,1
24780,nQ-RWqEa-RCrUxC1HVKoGA,Rachel,4.47,55,5,2011-03-04 19:04:10,5,51,32,161,5,5,1
24797,UBUV0ElEvm8kgxZvcdDo2Q,Molly,4.28,189,13,2012-06-28 12:47:25,13,112,55,257,24,24,16
24817,TyepNPbEnMCy1_IhsT0YAg,Cintya,3.27,443,28,2010-03-13 16:44:44,28,281,237,566,26,26,10
24845,PpCIPMBc2jH9FJY0nQxF0g,Tom,4.6,25,3,2009-01-15 16:24:10,3,9,11,29,1,1,1
24852,4guhHcnzrximsz-DeEvskg,Jessica,3.99,141,23,2010-07-13 08:08:04,23,199,109,425,21,21,11
24866,XNqIs9x4VDWt-yKfcOmJ-A,Amy,3.53,31,0,2014-01-09 02:39:12,0,3,3,10,0,0,1
24870,ibvH1Y7Rh_tstiWgH0OFTA,Veronica,3.97,1441,269,2007-05-01 20:15:55,269,1472,847,2595,214,214,132
24880,QYb3LJ2mGQugwdbtT1QKJw,Lavada,4.0,15,2,2009-12-04 14:02:42,2,5,22,19,2,2,21
24889,QPYlPpjn3tE0FCDuurzd6w,Esther,3.77,146,11,2010-08-31 19:15:35,11,97,136,246,2,2,7
24906,oVLcVeZFLeqFeoJ0DpbIEQ,Cathy,3.9,137,9,2008-09-14 07:17:08,9,231,219,353,17,17,19
24914,06xIElWq6CAvmtk1xHJWNA,Andrew,3.92,561,44,2006-01-09 00:41:14,44,267,426,265,25,25,20
24929,PS8j7C-9Spi4J9ZHuZF60A,Gabe,4.37,43,1,2015-01-09 18:16:12,1,6,3,13,0,0,0
24934,Yqzz7VfXMPWlDXB2W_TwBA,Stewart,3.18,56,1,2014-12-03 08:10:20,1,32,30,54,0,0,1
24936,waadolhBnW9k2YexoLruLg,JJ,4.73,21,6,2009-08-27 07:23:36,6,24,12,42,1,1,2
24937,L5MYzBn5ROOh4OburZeCbg,Janna,4.54,21,0,2013-08-15 16:07:18,0,3,1,17,1,1,1
24975,1vLIyp-SvOg4w_ToH8XSUg,Steve,3.93,13,0,2011-08-09 01:23:04,0,0,1,3,0,0,0
24987,k2ap_dScTIr0n1D6RqVOFA,Elaine,4.49,183,15,2013-04-27 17:16:33,15,149,116,260,5,5,9
25028,K7W2UaUGJvpbqiqObRhQQQ,Michelle,3.92,75,1,2011-05-01 23:56:25,1,14,10,49,0,0,1
25035,A99JH42plCWXUjM6lUXa9w,Jaclyn,2.6,4,0,2017-03-08 07:17:47,0,0,0,7,0,0,0
25037,WOlBelW_IzsKOyizelNKCw,Shivali,3.6,302,29,2012-04-21 01:25:32,29,177,101,371,15,15,31
25048,Yf0JwS-Zr2DQlk73TDzVLA,Ami,3.26,783,21,2012-07-04 16:40:46,21,267,226,823,6,6,31
25059,DvcAC_nlKaTDsHcA8Slagw,Jon,3.78,890,55,2008-02-03 00:03:12,55,873,682,1662,66,66,55
25070,nwdi9A8pMRRHFT0OPmvvGw,Michael,3.64,81,2,2012-10-13 15:57:15,2,5,8,45,0,0,2
25108,QIjZUKLIDcycYUPWzX7PEA,Daphne,4.63,8,0,2016-08-17 02:44:02,0,0,0,0,0,0,0
25112,9unlBkftcCxEuOzPliukQw,Helen,3.94,297,48,2011-02-02 15:50:22,48,245,104,444,14,14,9
25142,T0uxrIjqH7eFHeWc3jF8FQ,Seiji,4.04,131,21,2012-05-10 02:30:16,21,115,77,299,11,11,2
25151,NoGyUlmZjaRZApyqJghV3Q,Jordan,4.2,41,2,2012-01-03 03:51:58,2,9,16,25,0,0,2
25168,FRUAW8F4tAYUpyHXOxOsfQ,Kyrstin,4.36,11,0,2015-10-06 18:10:00,0,1,0,3,0,0,1
25178,HbvzphlSrnMtN09Z719e8w,Jessica,4.03,394,37,2008-04-04 23:44:33,37,226,130,487,23,23,13
25208,AKV4k6dwrZvI-LBrbS_HmQ,Justin,3.54,266,6,2013-10-09 01:51:29,6,148,46,239,11,11,6
25209,0R4zwdmonhJnnap93kFwZg,Soojin,3.74,273,21,2007-07-16 06:44:51,21,163,208,351,7,7,14
25230,RDtoAKtFjv632JvVtguMZw,Michael,3.95,19,10,2011-05-14 21:34:23,10,11,7,27,2,2,5
25244,DuzZ68TZWlQ3mALJZ0ASVQ,Karmen,3.68,165,10,2011-12-25 04:25:54,10,150,109,344,20,20,19
25246,lvdr0-rtN82SABkDTN5-nQ,Patricia,3.22,17,1,2010-08-14 00:54:24,1,2,4,13,0,0,0
25264,4b7c50i7QGfgAaI5yQtSiw,Emily,3.86,29,0,2012-05-30 01:39:02,0,2,1,33,0,0,0
25279,2eNyhLZq3SFRDaMXXJgBhQ,Milan,4.12,73,2,2011-11-21 20:40:07,2,15,10,42,5,5,2
25318,hT6TlsrYIBgnRD84wxIQwA,Nicole,3.56,289,17,2011-07-07 23:41:07,17,210,118,451,21,21,17
25329,IXeJT31JlMOVfH-JyBzxzA,Stephanie,4.21,192,11,2012-08-14 06:10:27,11,146,112,281,6,6,11
25355,r4WBKoN5_F6fsyJo8OEMZA,Eddie,4.25,130,1,2009-08-26 23:57:32,1,49,37,149,1,1,5
25361,I_4cXopXxFr5B7adXZ1ruQ,Daniel,3.93,657,172,2011-08-16 00:48:25,172,11750,7632,12341,2648,2648,1307
25365,rzpbbpb_oBW42aJxL6ixlQ,Ryan,3.81,306,43,2007-05-10 16:53:54,43,1739,1771,2040,424,424,470
25378,BZKHfjv5kxLdEY_9fYpu0Q,Jen,3.55,142,7,2011-09-13 20:11:53,7,68,43,225,8,8,3
25448,jaij3nmMTFFguC67URtcxA,Stacy,3.76,35,1,2011-06-27 00:42:54,1,32,34,99,10,10,3
25468,qPBuYezVaC7C4F7YKNDJ_Q,Yen,3.88,298,11,2009-08-18 02:42:24,11,144,140,388,13,13,13
25470,g4rIglpFOIfhwRv9Ej_xhA,Xin,3.0,8,2,2013-10-27 03:07:21,2,2,2,7,0,0,0
25491,r5hGG5lTwGzD4nTzTeFsNA,Matthew,3.79,169,21,2008-08-17 15:23:59,21,386,547,477,71,71,43
25510,H5wqGJVwihWTC7GMxjH1Xg,Rachel,3.89,106,9,2007-04-19 16:35:08,9,34,32,97,6,6,4
25522,eHgvaxXZ-Cr0yIKN544d1A,Tracie,4.22,43,0,2010-04-17 02:52:13,0,13,6,43,0,0,0
25555,2V_oIMdrPBsq5u8rXACG2A,Mark,3.9,38,0,2015-11-05 20:07:48,0,10,10,26,2,2,0
25566,hnhs-uzv_eoE6Pq8nXyufA,Jaymie Lynn,3.84,204,22,2010-04-03 18:42:50,22,183,189,295,40,40,46
25604,CwYFVu-h18yc5HmQzUP-6w,Michael,3.46,24,2,2014-01-03 17:53:07,2,13,5,16,1,1,6
25615,y0axDGrceM7ve0chunw2Iw,Toni,3.45,132,12,2012-12-29 23:02:15,12,456,391,586,50,50,17
25618,-QZUJr0kLsSc5PfiQYh_dQ,Jessca,4.21,23,0,2013-06-05 05:32:28,0,2,3,13,0,0,0
25671,eH5cPO1SV9hTVktzenjYgw,Joelle,3.45,319,58,2008-06-14 18:09:08,58,641,565,1175,106,106,45
25681,fJhQQKVrq2z_01PVEEDW4g,Drew,3.54,205,15,2010-03-10 13:44:02,15,105,54,298,19,19,16
25707,_73GdBatHqhhQ7fA83WkGQ,Mary,3.58,70,7,2009-10-04 08:14:00,7,186,149,263,39,39,10
25717,5ETvIplFINUqNJ3jgVkItg,Alyson,3.82,53,4,2013-01-09 22:26:19,4,34,12,83,1,1,2
25720,bryAPtwnnMYjbzoOWHzbWg,Eugina,4.23,92,16,2016-12-06 19:33:25,16,81,27,141,4,4,2
25733,2wK-Swr9cK90jdnTX0XrBw,Ryan,4.29,13,0,2009-07-21 07:41:52,0,8,5,10,0,0,2
25745,bxBR0vakC_OAU-5rCYCDsw,Sarah,3.32,321,14,2010-05-08 03:03:38,14,178,243,439,15,15,16
25767,oEE0Scla5Br18J82OWqI-w,Zarah,3.5,12,0,2014-05-21 03:55:18,0,3,4,20,0,0,0
25789,oZRMTeu4w34Nj87st79nuA,Ashlee,4.28,95,2,2013-06-20 20:41:49,2,56,27,113,2,2,2
25800,zMCq1kmujBj_lDDko6g31A,terra,3.03,605,33,2007-12-16 08:36:51,33,393,488,1101,19,19,29
25810,LPSNKZWCOweiPHNiJgafng,Alma,3.62,128,17,2010-10-04 00:23:21,17,144,122,330,22,22,12
25818,4hNNewrDO8g9EYLth8dK2w,Mahsa,4.0,10,2,2010-03-13 03:47:26,2,6,3,5,1,1,0
25875,1dwa6Wkp0chKBcrRuO05lA,Tania,3.77,128,6,2007-02-22 17:11:02,6,67,32,118,8,8,2
25893,0QdwQLVxZpgy9Qb2Qakflw,Jim,3.97,623,59,2009-07-02 00:39:42,59,1178,814,1739,89,89,31
25896,ZE2_VhRyEfu5MyuEO2kwsw,Mindy,4.16,31,2,2011-09-03 23:56:38,2,10,5,25,0,0,0
25900,UKjpmd0OonxsWePtWz06rQ,Leigh,3.58,28,1,2013-09-05 15:41:43,1,7,15,73,0,0,1
25916,A0ssDikuj0SQr9mVqnh91Q,Heather,3.86,82,9,2008-12-16 21:34:32,9,81,12,155,12,12,6
25924,Q3lp4hnDOflAO2Ul6u9JvQ,Monique,3.62,187,12,2010-01-25 02:23:14,12,469,478,641,157,157,94
25943,u5r53zerLzYfDymhtmZlUA,Jolene,3.93,39,2,2009-06-22 23:39:35,2,17,6,28,0,0,3
25945,BKiJK6elXpyHvQnaUr-HfA,Robert,4.38,81,4,2011-07-13 21:31:06,4,49,59,74,3,3,0
25948,3uPAF2-YwiTUN5NvVH6pIQ,Kay,3.7,583,75,2012-11-08 20:18:32,75,1522,988,2110,215,215,74
25955,Nw97_9RQOHnoo4Vkzim_Dg,Ashley,4.15,132,7,2014-11-14 00:56:58,7,23,7,58,3,3,0
25961,tdLsZ2OJuOkjhcaZNZYW0g,Chaed-Paul,4.22,80,2,2017-06-30 01:39:52,2,63,50,104,1,1,0
25994,BZPycUvKS65gIgftMF9pCQ,Christine,4.15,149,5,2010-12-04 03:35:31,5,190,74,400,2,2,6
25999,YJ4EOZTtAMp7-C1bDNemvA,Mimi,3.71,22,0,2013-03-25 06:44:55,0,2,2,6,0,0,2
26007,Eh61WMRGttAWksS9EQeTuQ,Jazzy,3.09,58,1,2012-11-03 07:08:39,1,2,5,11,0,0,0
26022,JC99U5y-KAchZIjBhf_DiQ,Vanessa,3.63,1113,37,2009-10-21 03:23:04,37,425,354,880,32,32,30
26024,RPgxx0yCxGXvWx8KKpc1DQ,Thien,3.52,209,11,2009-02-02 07:04:27,11,122,166,282,34,34,57
26027,K2tK3VYPGpsg7UQfOxmHXQ,Mike,4.55,132,10,2011-06-29 00:16:54,10,108,45,202,13,13,13
26047,V7eEye2-ox29NUjoKlSkbg,Charlotte,4.28,50,6,2008-08-17 00:30:57,6,29,20,101,3,3,3
26066,zyICJ6S9l9EKsVnoI-_irQ,Fanny,3.85,420,46,2010-08-24 01:11:13,46,436,363,776,44,44,69
26080,0kU-UoJE5BHQETbwZ8sc1w,Pradeep,4.67,6,0,2014-10-18 01:15:05,0,4,1,0,0,0,0
26093,9wzMg1ngB6Y9yS8dKRZeHw,Mike,3.89,9,1,2015-03-04 20:53:35,1,0,0,5,0,0,0
26095,iSPFpeSUjK-E38N_FLJWjw,Lisa,4.31,177,11,2012-08-20 00:10:37,11,216,70,339,0,0,4
26106,_W7YZbAJl5V81SkYfa6KHQ,LaTonya,3.27,44,2,2014-03-05 14:04:52,2,9,9,31,0,0,2
26116,rKAIKtag79hYUf0S7Pa_-A,Karli,4.04,24,0,2010-01-21 01:27:44,0,21,12,32,4,4,2
26122,YAbt_f2Ft4dCYNHUi_NE9Q,Yenidey,2.88,47,2,2014-09-05 14:26:23,2,16,21,46,1,1,2
26133,i8f4xCY6YCXhziG-6JEJlg,Carrie,3.81,150,11,2011-10-15 00:56:33,11,122,141,346,8,8,9
26141,WOYxLexB6otqIgP-nOzxcQ,Ziwei,3.35,16,2,2011-10-17 01:34:16,2,1,6,5,0,0,0
26163,sYC_bU-yUdGEwyAWR4Mxsw,Jackson,4.02,110,2,2015-03-24 18:24:32,2,39,25,118,0,0,1
26173,u8uaLI22QG6RyuOye_3r8w,Michelle,4.45,284,25,2014-02-16 12:39:21,25,908,541,1391,233,233,160
26190,hVyUgeRbcLc2DaEAZ8-iDg,Rachel,4.0,11,0,2016-04-14 04:56:54,0,0,0,7,0,0,0
26197,nixQjPlfVhMEhrNkmp5FDw,Amanda,3.83,353,24,2012-07-11 13:52:05,24,479,294,1092,51,51,104
26200,gY-kSc4yTiq19Js2UhAB2w,Jeff,4.41,32,0,2011-10-24 02:27:02,0,7,8,15,0,0,0
26214,XwilAaxYpbgpkoICDl3HDQ,Gracie,4.17,16,4,2011-06-21 17:43:37,4,71,147,82,0,0,0
26223,Cu2SMcEYiSkmi9sZE5Zb_A,Scott,3.53,77,0,2011-02-23 15:47:41,0,24,19,78,0,0,0
26225,1rlB-SWvDU5TnDnym2qeDw,Danny,3.93,490,19,2009-08-24 00:07:11,19,280,310,433,75,75,98
26227,WVWknTDLYl11kiWIJI456g,Lynn,4.23,188,54,2014-05-30 06:14:01,54,2109,1695,2258,473,473,341
26228,swocJWD8R1iH20-lveXh0Q,Rosalind,3.57,737,37,2007-03-13 18:41:21,37,326,357,716,32,32,31
26234,Po5s6xQhXIpN9PRziT5JXg,Kerry,2.89,34,1,2012-11-27 20:19:34,1,5,6,27,0,0,1
26246,S6FcHm0q8XQImc9q83ckew,maria,4.25,31,0,2009-06-12 01:17:27,0,6,4,46,0,0,2
26260,Wz6nekYXj4wZ39UKgaVHJA,John,3.41,291,8,2010-02-27 22:50:08,8,44,77,299,12,12,8
26264,ajvtJjaUcgukamiyCiwuYg,Amanda,3.99,164,35,2015-03-19 16:51:55,35,399,166,447,29,29,22
26272,Il5rEF1q73uT-kzGoXIy_w,Jia,4.16,234,16,2015-05-09 02:12:03,16,281,97,775,36,36,12
26285,1GdHFA1yLrV8qgjs7duR_A,Jill,3.69,56,2,2010-11-19 17:55:38,2,34,29,50,5,5,3
26295,1DDKRE9x1NFBq7dEDp-w7Q,Eric,4.39,26,1,2010-09-08 21:03:19,1,16,40,32,1,1,2
26348,DDwuwjZHsTmN7-Fju7D1qw,Patrick,3.79,1068,45,2007-06-24 00:34:16,45,1046,1137,2118,62,62,90
26364,WIdUAxJqXKp2imC_BfcxMg,Jason,3.38,266,9,2009-05-12 16:25:45,9,110,96,617,3,3,8
26378,Sh05-qg1HEH4AwQ6Bc5AWA,Ashlee,4.6,5,1,2015-08-19 00:31:10,1,0,2,2,0,0,0
26396,TkFcPIHDPx43OqnqZ_ElPQ,Jenny,3.7,182,10,2009-11-09 00:25:38,10,113,92,341,27,27,16
26404,l-3u90M46tO9bqE_Dt9kAQ,Frank,3.78,35,0,2011-03-20 00:36:24,0,12,14,25,1,1,2
26419,9ZlCHpjlvgCS2qU7lW9cig,Ken,3.1,17,1,2012-12-09 03:56:22,1,1,8,16,0,0,0
26420,tWVN_ZMQV3YMUbyPKmOZ_A,Ilia,4.38,39,0,2013-03-29 02:13:25,0,9,6,12,0,0,1
26423,LU8SYDEo1gp1Cq2_2ZHiDg,Maria,3.22,285,14,2008-11-11 02:06:22,14,174,301,646,7,7,10
26426,iylyMoq92gzB8RYMfO2NmQ,Mar,3.95,119,5,2010-08-01 03:18:35,5,57,40,202,3,3,6
26446,f8IIuyUM0jeIH2dRGsTzdw,Lindsay,4.63,16,0,2013-03-31 01:21:17,0,2,1,9,0,0,0
26448,SnWiJRTOBGLdY2vrq89G_Q,Benjamin,3.92,87,4,2010-05-03 03:32:17,4,21,30,68,0,0,0
26464,Qtiw2Jo_2V0ZYfXfXK4TVg,Mike,3.04,137,3,2012-07-24 17:17:09,3,43,53,179,0,0,1
26467,Og5lv2yeSg-JRxbxc5_8PQ,Emily,3.51,187,7,2011-07-04 03:16:35,7,157,146,291,8,8,4
26468,7eZobfrf7gai6iIpWDKTZw,Prince,4.18,64,9,2010-03-07 19:14:36,9,43,36,187,2,2,1
26473,ML7s4ksNwDEQYeAsIz4WlA,Robin,4.22,81,5,2012-01-10 19:32:56,5,32,14,85,2,2,1
26499,Qu2QIdJZmaaD6q5aJGMTrg,Claudine,4.15,112,8,2012-04-15 05:24:37,8,82,41,176,3,3,8
26583,BHyCKAAMqXfxpSB4Z9QtAw,Kailin,4.53,38,2,2016-08-28 15:38:01,2,5,0,21,0,0,1
26587,XaEt-L958Wj8i3Zrs_hWUQ,Courtney,3.44,25,0,2015-09-24 17:59:32,0,0,1,6,0,0,0
26604,2VABkVdFhHGMo7wAqfofGA,Nikki Rose,3.78,241,37,2009-06-12 05:46:33,37,358,185,657,59,59,41
26613,BfQV-3W_l0XAQRqA3vkgpg,Brittney,4.61,23,9,2011-02-20 23:20:45,9,14,1,47,1,1,4
26636,owZ_oDUvjvcwE5_IlWYj0w,Adam,2.33,2,0,2013-07-14 04:36:42,0,0,0,0,0,0,0
26655,fExL6u06xTSg13k945IPAQ,Nicholas,3.45,949,130,2012-04-26 20:19:20,130,3070,1335,4823,46,46,30
26667,3m8tzY1bLACZbn5LGMhwrg,Kathy,4.62,76,5,2011-06-29 16:15:09,5,20,5,57,1,1,2
26681,MWxUHfU1YAC86hEzM0I51Q,Hunter,4.83,6,0,2017-02-07 22:10:29,0,0,0,0,0,0,1
26710,eQAJO5Ns-CHW6n0Er1D44w,Kaleigh,4.28,28,3,2013-09-14 01:32:47,3,13,5,20,0,0,0
26718,aTvtDvisSGpNiJfNkp0KPQ,Matt,3.47,374,5,2009-06-22 03:10:23,5,128,134,351,5,5,4
26745,OPYFQ6fo3GcpXMBqI2aO1w,Frank,4.35,102,4,2012-05-28 06:54:37,4,35,15,79,1,1,0
26758,RZvFoL87yHv3fADFTi5Y7g,Candice,3.94,31,0,2016-10-05 04:09:21,0,4,5,12,0,0,0
26774,-rr8yexI0JRT_pqyNgu6jg,Jeff,3.38,153,5,2015-09-22 01:35:11,5,26,22,118,1,1,0
26831,R4E1qq6tAaUw9zrLvvVrqA,Veronica,3.86,123,13,2013-09-28 02:35:09,13,142,72,208,8,8,4
26834,7e4CioqxGMByqh0lJP5FZg,Michael,3.91,531,67,2005-04-21 16:02:10,67,662,423,1185,50,50,30
26863,6Tuw7lr7Zg1nzBpG2mJNtQ,Mei,3.55,278,21,2011-08-19 01:19:50,21,230,157,341,5,5,3
26865,LYNclIEt65ZChOr5DvoVrA,Mark,4.18,35,3,2012-02-20 23:57:21,3,5,5,23,0,0,0
26908,Gxoiwa0VBcjHua8djLaDSA,Natalia,5.0,11,0,2015-12-10 00:16:56,0,0,0,4,0,0,0
26915,GCOZkJN8SXqk9shkpkfovA,Philip,3.6,82,3,2008-07-12 01:22:50,3,49,64,183,7,7,15
26923,W-ZZBsZ88f-hDV5iOYZyVQ,Stacie,3.69,30,1,2010-01-19 19:34:38,1,15,4,24,0,0,2
26956,8ifOe57JHVEIzmTRt-0VuQ,Hillary,3.67,177,8,2013-06-04 23:07:04,8,422,183,584,37,37,15
26976,0Oo0ttdjIB8u_RamxNhdqg,Lily,4.67,29,2,2009-08-02 17:46:25,2,7,2,25,0,0,1
26981,2MtL65B0hy5L41TFBRIdYg,Demetria,4.25,153,12,2011-08-29 03:40:46,12,137,90,277,5,5,4
26994,AuT3ke1gXCsQhbL_n0xJMA,Vanessa,4.12,139,6,2017-05-18 05:21:13,6,40,19,91,2,2,2
26999,H7pj7sbXY3N-WSEwa-JfpA,Tony,4.06,666,35,2012-07-29 01:56:19,35,286,117,674,13,13,9
